withdrawn_year,withdrawn_projects,withdrawn_mw,withdrawn_storage_mw
2006,6,2041.0,0.0
2007,27,6155.0,0.0
2008,180,44471.0,0.0
2009,37,14678.0,0.0
2010,75,15274.0,0.0
2011,135,29018.0,0.0
2012,191,29816.0,0.0
2013,94,14191.0,20.0
2014,61,9561.0,533.0
2015,93,12682.0,2486.0
2016,85,10379.0,3615.0
2017,98,17489.0,2439.0
2018,50,8444.0,3198.0
2019,114,25909.0,14333.0
2020,98,26601.0,17577.0
2021,88,26715.0,18894.0
2022,109,23999.0,24042.0
2023,43,15062.0,13214.0
2024,43,10831.0,7639.0
2025,50,15083.0,13830.0
2026,46,12659.0,12902.0
